Headlines,Author_Dates,Summaries,Author,Date
Modi govt has put 498 crawling rail projects worth Rs 6.75 lakh crore on temporary freeze,"Srinand Jha - 9 March, 2020","The projects will be kept alive by allocating token amounts, but some ‘critical’ and ‘super critical’ ones will be prioritised, rail ministry officials say.",Srinand Jha ," 9 March, 2020"
"States not on board, regulatory roadblocks — NDA’s river-linking project flows nowhere","Moushumi Das Gupta - 9 March, 2020","Five states, including BJP-ruled Karnataka, have written to the Jal Shakti ministry to voice their opposition even as the first such project, the Ken-Betwa link, is in a limbo.",Moushumi Das Gupta ," 9 March, 2020"
"5 new coronavirus cases in Kerala, state govt warns of action against hiding travel history","PTI - 9 March, 2020",A couple and their son who had flown from Italy and evaded airport screening have tested positive for coronavirus.,PTI ," 9 March, 2020"
"IIM-Rohtak director’s appointment under scanner for ‘gaps in educational, career record’","Kritika Sharma - 9 March, 2020",Dheeraj Sharma’s appointment as IIM-Rohtak director has been challenged in Punjab & Haryana High Court.,Kritika Sharma ," 9 March, 2020"
"Fear of quota claims, ‘need to save secular state’ — why caste never made it to the census","Angana Chakrabarti - 9 March, 2020","The last time comprehensive data on caste was collected was in the 1931 Census, and there is now a growing clamour to include caste as a category in the 2021 Census.",Angana Chakrabarti ," 9 March, 2020"
"8-year-old activist Licypriya accused of ‘faking’ achievements, denies all allegations","Simrin Sirur - 8 March, 2020","Climate activist Licypriya Kangujam had turned down PM Modi's invitation to be honoured on Women's Day, and says she is being targeted because of that.",Simrin Sirur ," 8 March, 2020"
Mizoram Congress asks state govt to seal Indo-Myanmar border over coronavirus fears,"PTI - 8 March, 2020",The Congress said that commuters and traders from China and other ASEAN countries enter Mizoram through Myanmar without undergoing screening.,PTI ," 8 March, 2020"
Watch your language when you describe anti-trans feminists,"Jennifer Saul - 8 March, 2020",The so-called TERFs think the term is inaccurate too: they insist that they’re not trans-exclusionary because they include trans men in the category of women.,Jennifer Saul ," 8 March, 2020"
Meet the seven achievers who took over PM Modi’s Twitter handle on Women’s Day,"ThePrint Team - 8 March, 2020","Four activists, a bomb blast survivor, an architect who conserves lakes and an organic farmer were among the women highlighted Sunday.",ThePrint Team ," 8 March, 2020"
Gujarat High Court orders transfer of SIT judge hearing 2002 Naroda Gam riot case,"PTI - 8 March, 2020",The Naroda Gam massacre is one of the nine major riot cases probed by the Supreme Court-appointed Special Investigation Team (SIT).,PTI ," 8 March, 2020"
"Buses, metros to be regularly disinfected to stop spread of coronavirus: Delhi CM Kejriwal","PTI - 8 March, 2020","Addressing a press conference, Delhi CM Arvind Kejriwal said 168 isolation beds had been set up at 25 hospitals in the city for coronavirus patients.",PTI ," 8 March, 2020"
Govt asks AIIMS to set up isolation beds for coronavirus cases in new emergency wing,"PTI - 8 March, 2020",The health ministry also asked the National Cancer Institute (NCI) in Jhajjar to augment its isolation bed capacity to 125 from the existing 25.,PTI ," 8 March, 2020"
IAS officers say no recourse left against ‘arbitrary’ appraisal system after HC upholds it,"Sanya Dhingra - 8 March, 2020","Delhi High Court ruled last month that Modi govt’s appraisal system for senior civil servants, which officials call ‘arbitrary’ and ‘opaque’, isn’t illegal.",Sanya Dhingra ," 8 March, 2020"
"RSS pushes for greater role of women in public life, rejects feminism of the West","Arun Anand - 8 March, 2020","Contrary to the commonly-held belief that women hardly have a role in the RSS’s activities, there has been an increased emphasis on their growing role over the last two-and-a-half decades.",Arun Anand ," 8 March, 2020"
Arunachal Pradesh bans entry of foreigners over coronavirus fears,"PTI - 8 March, 2020","State chief secretary Naresh Kumar directs officials to temporarily stop issuing Protected Area Permits, days after Sikkim announced similar curbs.",PTI ," 8 March, 2020"
"5 test positive for coronavirus in Kerala, number of cases in India rises to 39","PTI - 8 March, 2020","Three of the individuals had returned from Italy on 29 February, while the other two are their relatives. All five hail from Pathanamthitta district.",PTI ," 8 March, 2020"
"UP hoardings targeting anti-CAA protesters under Allahabad HC scanner, hearing at 3pm today","Prashant Srivastava - 8 March, 2020",The HC had Saturday issued notices to the Lucknow administration seeking an explanation on under which law the hoardings were put up on the streets.,Prashant Srivastava ," 8 March, 2020"
"Yes Bank co-founder Rana Kapoor arrested at 3am, remanded to ED custody until 11 March","PTI - 8 March, 2020",Kapoor was arrested under the Prevention of Money Laundering Act after 20 hours of questioning and a Friday night raid on his residence.,PTI ," 8 March, 2020"
"BJP’s Hegde, TMC’s Derek & 93 other MPs haven’t attended single parl panel meeting on grants","Moushumi Das Gupta - 7 March, 2020","Trinamool Congress has the highest percentage of MPs who haven’t attended meetings of their department-related standing committees, followed by BJP & Congress.",Moushumi Das Gupta ," 7 March, 2020"
"Class 10 board exam in MP refers to PoK as ‘Azad Kashmir’, two officials suspended","PTI - 7 March, 2020","Opposition BJP alleges that the ruling Congress’ leaders use ‘same terminology’ as Pakistan and separatists, demands that a sedition case be registered.",PTI ," 7 March, 2020"
NIA court sends 2 Pulwama attack accused arrested Friday to 7-day remand,"ANI - 7 March, 2020",Srinagar resident Waiz Ul Islam and Pulwama’s Mohammad Abbas were arrested for their involvement in the attack that killed 40 CRPF personnel in February 2019.,ANI ," 7 March, 2020"
Delhi court takes cognisance of chargesheet giving clean chit to Asthana in CBI vs CBI case,"PTI - 7 March, 2020","Court observes there are no sufficient grounds to proceed against former CBI director Rakesh Asthana, who was arrested in 2018 & later got bail.",PTI ," 7 March, 2020"
J&K Police issues ad asking people to flag ‘inflammatory’ social media messages,"Azaan Javaid - 7 March, 2020","In an advertisement published in local newspapers Saturday, Jammu and Kashmir Police urged people to become 'peace-makers', and also announced rewards.",Azaan Javaid ," 7 March, 2020"
Govt keeps mum after UK judge talks of ‘capture’ of Dubai princess by Indian commandos,"Snehesh Alex Philip - 7 March, 2020","Indian officials say London court ruling came in a 'family dispute' that does not involve international governments, defence ministry has 'no information'.",Snehesh Alex Philip ," 7 March, 2020"
No country says everybody is welcome: foreign minister Jaishankar hits out at CAA critics,"PTI - 7 March, 2020","On UNHRC's intervention, Jaishankar said that its director has previously been wrong too and one should look at the UN body's past record on handling Kashmir issue.",PTI ," 7 March, 2020"
"Tirupati temple chairman credits Lord Balaji for saving Rs 1,300 cr deposited in Yes Bank","Rohini Swamy - 7 March, 2020","K.V. Subba Reddy says while examining the books of accounts, he realised the financial status of Yes Bank was not sound, and decided to withdraw the amount.",Rohini Swamy ," 7 March, 2020"
"On 90th anniversary of Dandi March, Congress to take out ‘Gandhi Sandesh Yatra’","ANI - 7 March, 2020",The 27-day yatra will begin at Mahatma Gandhi’s Sabarmati Ashram on 12 March. Sonia Gandhi and Rahul Gandhi are set to be part of it.,ANI ," 7 March, 2020"
Yogi Adityanath goes viral on Chinese social media for ‘yoga cures coronavirus’ speech,"Kritika Sharma - 7 March, 2020",A video of UP CM Yogi Adityanath’s speech has garnered millions of views and thousands of comments on Chinese social network Weibo.,Kritika Sharma ," 7 March, 2020"
Crime Branch arrests Shiv Vihar resident for murder of Uttarakhand man in Delhi riots,"ANI - 7 March, 2020","The body of the victim, Dilbar Negi, was found mutilated in Brijpuri on 26 February. The body had been allegedly burnt by a mob after cutting off the limbs.",ANI ," 7 March, 2020"
"Majority of 44 killed in Delhi riots aged 34 or younger, 2 were minors, GTB data shows","Ananya Bhardwaj - 7 March, 2020","Among the 298 injured brought to GTB Hospital, 202 were aged below 39 years. Twenty-eight of these were minors.",Ananya Bhardwaj ," 7 March, 2020"
"Within hours of ban, govt allows Malayalam channels Asianet News, MediaOne TV back on air","Amrita Nayak Dutta - 7 March, 2020","The channels were banned for 48 hours for their coverage of the Delhi riots, with the I&B ministry stating that they had violated the Cable TV Act.",Amrita Nayak Dutta ," 7 March, 2020"
"Ex-J&K minister’s son accused of buying land, sponsoring Kapil Sharma Show with fraud money","Azaan Javaid - 7 March, 2020","Hilal Rather, son of former J&K finance minister Abdul Rahim Rather, is accused of swindling Rs 177 crore to finance foreign trips, expensive watches & more.",Azaan Javaid ," 7 March, 2020"
Senior DMK leader K Anbazhagan passes away at 97,"PTI - 7 March, 2020","Anbazhagan, a 9-time MLA and DMK's general secretary for 43 years, was admitted to a hospital on 24 February after his health deteriorated.",PTI ," 7 March, 2020"
NIA arrests 2 more for role in Pulwama attacks,"PTI - 6 March, 2020",Waiz-ul-Islam (19) and Mohammad Abbass (32) were arrested for allegedly procuring chemicals found in the IED used in the attack that killed 40 CRPF personnel.,PTI ," 6 March, 2020"
"Malayalam channels MediaOne TV, Asianet News banned for 48 hours over Delhi riots coverage","Amrita Nayak Dutta - 6 March, 2020","I&B ministry has banned two Malayalam channels for 48 hours, stating that their reports sided “towards a particular community” among other violations.",Amrita Nayak Dutta ," 6 March, 2020"
Lucknow names & shames anti-CAA protesters on hoardings for ‘damaging public property’,"PTI - 6 March, 2020","Banners bearing photos, names and addresses of those accused of vandalism during anti-CAA protests were put up on CM Yogi Adityanath's orders.",PTI ," 6 March, 2020"
"Proud of RSS, VHP men if they resisted attacks during Delhi riots, says VHP leader","Revathi Krishnan - 6 March, 2020","VHP’s international working president Alok Kumar said that from his understanding, Muslims started the Delhi riots and Hindus retaliated in self-defence.",Revathi Krishnan ," 6 March, 2020"
"Lok Sabha clears Mines and Mineral Laws Bill, opens up coal sector for commercial mining","Moushumi Das Gupta - 6 March, 2020","The Mines and Mineral Laws (Amendment) Bill also removed the current end-use restrictions, thereby allowing for wider participation and competition in auction.",Moushumi Das Gupta ," 6 March, 2020"
"50% drop in IAS, IPS officers promoted in central govt in 2018, and no one can explain why","Sanya Dhingra - 6 March, 2020","According to govt data, appointments through promotion at the level of deputy secretary, joint secretary, additional secretary & secretary fell to 2,918 in 2018 from 5,953 in 2016.",Sanya Dhingra ," 6 March, 2020"
Lucknow names & shames anti-CAA protesters on hoardings for ‘damaging public property’,"PTI - 6 March, 2020","Banners bearing photos, names and addresses of those accused of vandalism during anti-CAA protests were put up on CM Yogi Adityanath's orders.",PTI ," 6 March, 2020"
"Proud of RSS, VHP men if they resisted attacks during Delhi riots, says VHP leader","Revathi Krishnan - 6 March, 2020","VHP’s international working president Alok Kumar said that from his understanding, Muslims started the Delhi riots and Hindus retaliated in self-defence.",Revathi Krishnan ," 6 March, 2020"
"Lok Sabha clears Mines and Mineral Laws Bill, opens up coal sector for commercial mining","Moushumi Das Gupta - 6 March, 2020","The Mines and Mineral Laws (Amendment) Bill also removed the current end-use restrictions, thereby allowing for wider participation and competition in auction.",Moushumi Das Gupta ," 6 March, 2020"
"50% drop in IAS, IPS officers promoted in central govt in 2018, and no one can explain why","Sanya Dhingra - 6 March, 2020","According to govt data, appointments through promotion at the level of deputy secretary, joint secretary, additional secretary & secretary fell to 2,918 in 2018 from 5,953 in 2016.",Sanya Dhingra ," 6 March, 2020"
Vatican reports first case of coronavirus,"PTI - 6 March, 2020","The tiny city state of just 1,000 will be deep cleaned. The Vatican suspended outpatient services at its health clinic after a patient tested positive.",PTI ," 6 March, 2020"
"Kerala temple has a separate toilet for Brahmins, removes board after social media uproar","Rohini Swamy - 6 March, 2020","Temple authorities remove the board that marked the separate toilet for Brahmins, after a photo of the toilet block goes viral on social media.",Rohini Swamy ," 6 March, 2020"
Kashmir gears up to host first-ever Winter Games amid coronavirus scare,"Azaan Javaid - 6 March, 2020","The four-day event, which will be held in Gulmarg, a popular skiing destination, will be inaugurated by Union Sports Minister Kiren Rijiju Saturday.",Azaan Javaid ," 6 March, 2020"
"Yes Bank depositors’ money safe, RBI working on early resolution, says Nirmala Sitharaman","PTI - 6 March, 2020",Sitharaman says RBI governor has assured her there will be no loss to any depositor and the steps taken are in their interest as well as of the banks and the economy.,PTI ," 6 March, 2020"
Indian exports could take a hit as world food prices dip in February due to coronavirus,"Samyak Pandey - 6 March, 2020","The FAO Food Price Index fell 1% from January, with vegetable oil, meat, and cereal indices registering a decline.",Samyak Pandey ," 6 March, 2020"
Modi govt’s NEP could have mandatory counselling of parents to help students fight stress,"Tarun Krishna - 6 March, 2020","According to HRD ministry data, nearly 10,000 students have committed suicide between 2016 and 2018 every year, with the highest number registered in Maharashtra.",Tarun Krishna ," 6 March, 2020"
"Institutions of law & order abandoned dharma, those of justice, media failed India: Manmohan","Kairvy Grewal - 6 March, 2020","Former PM Manmohan Singh said social unrest, economic ruin and coronavirus outbreak could diminish India's global standing as an economic and democratic power.",Kairvy Grewal ," 6 March, 2020"
"Imran Khan party wing showed Delhi riots as anti-Muslim, spread fake news: Delhi Police","Arun Anand - 6 March, 2020",Report prepared by the Delhi Police’s Special Branch claims Pakistan-based accounts trended anti-India hashtags during Delhi riots and spread rumours later.,Arun Anand ," 6 March, 2020"
"CAG slams Navi Mumbai infra body for major deficiencies, poor planning under CM Fadnavis","Haima Deshpande - 6 March, 2020","CAG reports states CIDCO, which fell under former CM Fadnavis, did not plan its projects properly. Congress calls for Fadnavis’ resignation as leader of opposition.",Haima Deshpande ," 6 March, 2020"
Why an atheist witness was ‘forced’ to take oath in the name of God in a Guwahati court,"Myithili Hazarika - 6 March, 2020","Earlier this week, a lower court in Guwahati refused an ‘atheist’  journalist from Arunachal to swear in the name of Constitution as there is no such provision for people like him.",Myithili Hazarika ," 6 March, 2020"
Free sanitary napkins to be available on all Aqua line metro stations from 8 March,"PTI - 5 March, 2020","The Noida Metro Rail Corporation is also planning to dub Noida Sector 76 & Pari Chowk metro stations as pink stations, aiming to run them by an all-women workforce.",PTI ," 5 March, 2020"
"Karnataka budget focuses on Bengaluru, lion’s share kept to ease city traffic","Rohini Swamy - 5 March, 2020","Presenting his seventh budget, CM Yediyurappa does not announce any major schemes or flagship projects, admits Karnataka under severe financial distress.",Rohini Swamy ," 5 March, 2020"
"Delhi violence death toll rises to 44, officials confirm","PTI - 5 March, 2020",More than 200 people were injured in northeast Delhi's communal violence last month.,PTI ," 5 March, 2020"
Delhi govt orders closure of all primary schools till 31 March as coronavirus cases grow,"PTI - 5 March, 2020","Deputy Chief Minister Manish Sisodia said in a tweet that all government, aided, private and schools run by civic bodies in the capital will remain shut.",PTI ," 5 March, 2020"
"Prasar Bharati CEO declines BBC invite, says its Delhi riots coverage was ‘one-sided’","Amrita Nayak Dutta - 5 March, 2020","In a letter, CEO Shashi Vempati says he won’t attend BBC awards night as broadcaster’s coverage of Delhi riots ‘insinuated communal behavior’.",Amrita Nayak Dutta ," 5 March, 2020"
Bombay High Court dismisses Chanda Kochhar’s plea against termination from ICICI Bank,"PTI - 5 March, 2020","The high-profile former banker was fired from ICICI Bank months after she voluntarily left the company. She moved court in 2019, challenging the termination.",PTI ," 5 March, 2020"
"16,076 crew, passengers on board ships from China stopped from disembarking at Indian ports","PTI - 5 March, 2020","A shipping ministry official said as per WHO guidelines, scanning of all on the vessels is being done and all necessary facilities is being extended to them",PTI ," 5 March, 2020"
"Modi govt to go ahead with NPR using new questions, says they were present in 2010 too","Neelam Pandey - 5 March, 2020","Govt’s stand comes despite objections from states. Parliamentary Standing Committee advises caution, given the apprehensions in the country.",Neelam Pandey ," 5 March, 2020"
"Abandon NPR, delink it from Census — 190 economists and social scientists urge Modi govt","Remya Nair - 5 March, 2020","In a statement, 190 economists and social scientists have pointed out that it is crucial that collection of Census 2021 data is safe and uncontaminated by other factors.",Remya Nair ," 5 March, 2020"
Suspended AAP councillor Tahir Hussain arrested after Delhi court dismisses surrender plea,"PTI - 5 March, 2020",Tahir Hussain has been booked in the murder case of the Intelligence Bureau staffer Ankit Sharma in northeast Delhi amid communal riots last week.,PTI ," 5 March, 2020"
"Telangana to follow Kerala, Punjab example & pass anti-CAA resolution in assembly","PTI - 5 March, 2020","The Telangana cabinet, which has opposed the amended citizenship law, had on 16 February urged the Union government to abrogate CAA.",PTI ," 5 March, 2020"
7 Congress MPs suspended from Budget session for ‘gross misconduct’,"PTI - 5 March, 2020",The Congress MPs had snatched papers off the Speaker's desk and scattered them while the House was in session.,PTI ," 5 March, 2020"
16 December gang rape and murder convicts to now hang at 5.30 am on 20 March,"Debayan Roy - 5 March, 2020",Tihar jail authorities tell Delhi court that all four convicts have exhausted their legal options.,Debayan Roy ," 5 March, 2020"
Netanyahu wants Israelis to greet with ‘Indian Namaste’ as coronavirus scare spreads,"Revathi Krishnan - 5 March, 2020",The Israeli Prime Minister said small steps such as adopting the “Indian Namaste” could help in controlling the spread of coronavirus.,Revathi Krishnan ," 5 March, 2020"
"Pakistan is a backward state, but not in the use of digital surveillance","Anum Malkani - 5 March, 2020","Under the pretence of promoting security and access to services, Pakistan has relentlessly crept deeper into its citizens’ lives.",Anum Malkani ," 5 March, 2020"
I’ll be back — Amar Singh thanks ‘whoever is spreading fake news’ of his death,"Kairvy Grewal - 5 March, 2020",Former Samajwadi Party MP Amar Singh posted a video on Twitter dismissing rumours of his death and revealed he was undergoing treatment in Singapore.,Kairvy Grewal ," 5 March, 2020"
EPFO cuts interest rate on provident fund deposits to 8.5%,"PTI - 5 March, 2020",Finance ministry has been nudging labour ministry to align the EPF interest rate with other small saving schemes run by the govt such as the public provident fund.,PTI ," 5 March, 2020"
MP asks question in Lok Sabha wearing mask amid spike in coronavirus cases,"PTI - 5 March, 2020","As reports of coronavirus cases increase in the country, many have started wearing masks as a precaution to ward off the infection.",PTI ," 5 March, 2020"
Supreme Court to hear pleas challenging CAA after Sabarimala matter,"PTI - 5 March, 2020","Attorney General K K Venugopal told the top court bench, headed by Chief Justice S A Bobde, that the Centre would file a reply to the CAA pleas in a few days.",PTI ," 5 March, 2020"
"Modi govt taking Hindu nationalist agenda to ‘new level’, US group says","Muneeza Naqvi - 5 March, 2020","A series of moves by Modi govt have hurt the rights of India’s Muslim minority population, latest global report by Freedom House says.",Muneeza Naqvi ," 5 March, 2020"
"CAA, NRC could render huge numbers of Indian Muslims stateless, says Ashutosh Varshney","Nayanima Basu - 5 March, 2020","At USCIRF hearings, Brown University professor Ashutosh Varshney said the implications of CAA are horrendous and put Indian Muslims in danger of being oppressed.",Nayanima Basu ," 5 March, 2020"
"100 years in the making, why Kolkata’s east-west corridor is world’s slowest metro project","Madhuparna Das - 5 March, 2020",The British had conceptualised a metro across the Hooghly river in 1921. But the east-west Line 2 of the Kolkata Metro is unlikely to be completed even by 2021.,Madhuparna Das ," 5 March, 2020"
Who shot the photo of Shahrukh shooting during Delhi riots? TOI and PTI caught in mix-up,"Simrin Sirur - 5 March, 2020",PTI published an image of Delhi rioter Shahrukh on its Instagram page. It took the photo down later as it had been clicked by TOI’s freelance photojournalist.,Simrin Sirur ," 5 March, 2020"
IIT Bombay & Delhi break into top 50 engineering colleges in QS World Rankings by Subject,"Kritika Sharma - 5 March, 2020","This is the first time an Indian institute, much less two, has made it to the top 50 bracket in the QS World Ranking.",Kritika Sharma ," 5 March, 2020"
"School for climate change, hostels with shops — how DU plans to become Institute of Eminence","Kritika Sharma - 5 March, 2020","Delhi University, classified as an Institute of Eminence in 2019, has submitted a detailed outline of its upgrade plan to the HRD ministry.",Kritika Sharma ," 5 March, 2020"
West Bengal govt asks schools to sensitise students on reducing risk of coronavirus,"PTI - 4 March, 2020",The state's education department issued a circular that followed a directive from Centre to build awareness among students about the virus and preventive measures.,PTI ," 4 March, 2020"
"Paytm employee in Gurugram tests positive for coronavirus, had just returned from Italy","Soniya Agrawal - 4 March, 2020","Paytm has shut its Noida, Gurugram offices for 2 days. This is NCR's second confirmed coronavirus case, taking the total figure in India to 29.",Soniya Agrawal ," 4 March, 2020"
Kerala CM Pinarayi Vijayan pitches for constitutional protection for freedom of press,"PTI - 4 March, 2020","Alleging media freedom was curbed during situations like Babri demolition, Gujarat riots & Delhi riots, Vijayan urged Centre to enact a law to ensure for freedom of press.",PTI ," 4 March, 2020"
Social media ban lifted in J&K after 7 months but internet speed to remain at 2G,"Azaan Javaid - 4 March, 2020","The J&K administration, however, reiterates that existing restrictions on mobile data services will remain.",Azaan Javaid ," 4 March, 2020"
"After Kapil Mishra gets Y+ security, Vyapam whistleblower wants better protection","Fiza Jha - 4 March, 2020","Dr. Anand Rai, one of the three chief whistleblowers of the Vyapam scam, says he has only one Protective Service Officer (PSO) at a time.",Fiza Jha ," 4 March, 2020"
"Coronavirus: Latest updates on cases in India, all you need to know about COVID-19","Sandhya Ramesh - 4 March, 2020","As the number of coronavirus cases climb in India, here is all you need to know about how the virus spreads, the symptoms, things to do to keep safe, and more.",Sandhya Ramesh ," 4 March, 2020"
"CAA plea in SC by UN body unusual, foreign entity can’t do this, says ex-India envoy to UN","Nayanima Basu - 4 March, 2020","Dilip Sinha, the former Indian ambassador to UN, says India is not a party to any international convention that would allow a foreign entity to take it to court on human rights.",Nayanima Basu ," 4 March, 2020"
PM Narendra Modi’s foreign visits cost Rs 446.52 crore over last 5 years: MEA,"PTI - 4 March, 2020","Answering a question in Lok Sabha, Minister of State for External Affairs V Muraleedharan said the expenditure includes the cost of chartered flights.",PTI ," 4 March, 2020"
"17 Indians abroad infected with coronavirus, MEA says in Lok Sabha","PTI - 4 March, 2020",Minister of State for External Affairs V Muraleedharan said 16 cases were reported from Japan on the cruise ship and one from the UAE.,PTI ," 4 March, 2020"
Coronavirus scare: BJP leader Tajinder Bagga wants Delhi Police to stop breathalyser test,"Neelam Pandey - 4 March, 2020",Delhi BJP spokesperson Tajinder Singh Bagga has also requested other states via Twitter to suspend breathalyser tests.,Neelam Pandey ," 4 March, 2020"
Govt sets target to increase nuclear power generation capacity by over 3 times in 10 years,"Mohana Basu - 4 March, 2020","MoS Jitendra Singh tells Parliament existing nuclear power capacity of 6,780 MW is proposed to be increased to 22,480 MW by 2031 on completion of projects.",Mohana Basu ," 4 March, 2020"
Congress accuses BJP of attempting to topple Madhya Pradesh govt using money & power,"PTI - 4 March, 2020",Calling it a 'blot on democracy' senior Congress leaders alleged that the BJP had taken eight MLAs to a Haryana hotel in a bid to poach them.,PTI ," 4 March, 2020"
"Silchar court grants bail to Assam lecturer arrested for derogatory post against PM, BJP","PTI - 4 March, 2020","Souradeep Sengupta, a guest lecturer at Gurucharan College, was arrested after a student lodged a complaint based on his social media posts.",PTI ," 4 March, 2020"
"Everything under control in Northeast Delhi, says police chief S N Shrivastava","PTI - 4 March, 2020",Delhi Police Commissioner Shrivastava said police were on 'top of the situation' after meeting Home Minister Amit Shah in the Parliament.,PTI ," 4 March, 2020"
16 December gang rape convict Pawan Gupta’s mercy petition rejected by President Kovind,"PTI - 4 March, 2020","The President has already rejected the mercy petitions of the other three convicts — Mukesh, Vinay and Akshay — who are also on death row.",PTI ," 4 March, 2020"
"Delhi riots international conspiracy, CIA & NIA should investigate: Minority panel member","Neelam Pandey - 4 March, 2020",National Commission of Minorities member Atif Rasheed refers to Bernie Sanders’ speech to claim international angle while insisting that BJP leader Kapil Mishra made no hate speech.,Neelam Pandey ," 4 March, 2020"
"Tracking Delhi’s coronavirus Patient Zero — Vienna, IGI, Hyatt, Mayur Vihar clinic","Rhythma Kaul - 4 March, 2020",At least 46 people — who came in contact with the patient since his return to India on 25 February— are under surveillance in the Delhi.,Rhythma Kaul ," 4 March, 2020"
Rupee seen sinking to 75 per dollar on coronavirus fears,"Kartik Goyal - 4 March, 2020",The rupee slid as much as 0.4% to 73.6 per dollar Wednesday to become the worst performing Asian currency.,Kartik Goyal ," 4 March, 2020"
"28 positive coronavirus cases in India, health minister says situation not grave","Himani Chandna - 4 March, 2020","Health Minister Harsh Vardhan also said if Iranian govt lent its support, a testing facility could be set up to help bring back Indian citizens from the country.",Himani Chandna ," 4 March, 2020"
PM Modi and Amit Shah say no to ‘Holi milan’ events over coronavirus scare,"Fiza Jha - 4 March, 2020","Both Modi and Shah tweeted Wednesday, saying they won’t participate in Holi Milan programmes and also appealed to people to avoid mass gatherings.",Fiza Jha ," 4 March, 2020"
Christ statue removed in Bengaluru after ‘Hindu groups’ claim cemetery land was misused,"Rohini Swamy - 4 March, 2020",Police say some Hindu groups complained that land on which the statue had come up was allotted for cemetery. Local Christians claim outsiders trying to create tension.,Rohini Swamy ," 4 March, 2020"
Need to include health impact of air pollution in our policies: Congress MP Gaurav Gogoi,"Mohana Basu - 4 March, 2020","Speaking at CPR Dialogues 2020, Gogoi lauded the Modi govt’s National Clean Air Programme, which shows that, at least, it considers air pollution a national problem.",Mohana Basu ," 4 March, 2020"
Coming soon — govt lab in every district where you can test your water supply for toxins,"Moushumi Das Gupta - 4 March, 2020","Under the Har Ghar Nal Se Jal scheme, all states will have to establish water testing laboratories at all levels — state, districts and blocks.",Moushumi Das Gupta ," 4 March, 2020"
Kerala priest Vadakkumchery defrocked — the 2016 rape case against him and its many twists,"Rohini Swamy - 4 March, 2020","From the victim naming her father as accused to recanting her own statement, the rape case against Kerala priest Robin Vadakkumchery unfolded in a confounding manner.",Rohini Swamy ," 4 March, 2020"
"Supreme Court allows cryptocurrency trade in India, strikes down RBI’s 2018 circular","PTI - 4 March, 2020",The RBI had prohibited banks & financial institutions from providing services with relation to cryptocurrencies.,PTI ," 4 March, 2020"
Behind the wall — Story of the Ahmedabad community Modi govt hid from US President Trump,"Swagata Yadavar - 4 March, 2020","The wall was meant to hide the Saranias of Ahmedabad but it has put them, their poverty and their squalid living conditions right in the limelight.",Swagata Yadavar ," 4 March, 2020"
"Round two of Shaheen Bagh talks begin, interlocutors play Holi card for ‘positive solution’","Debayan Roy - 4 March, 2020",Senior advocates Sanjay Hegde and Sadhna Ramachandran were tasked by the Supreme Court to convince Shaheen Bagh protesters to move to a different area.,Debayan Roy ," 4 March, 2020"
These are the 3 Indian journalists most followed on Twitter by fellow journalists,"Kairvy Grewal - 4 March, 2020",The study conducted by University of Michigan also found that historian Ramachandra Guha was the most followed ‘public intellectual’ by journalists.,Kairvy Grewal ," 4 March, 2020"
"Hit by coronavirus crisis, NITI Aayog plans Rs 3,000-cr scheme to boost bulk drugs industry","Himani Chandna - 4 March, 2020","Under the proposed incentive scheme, the government will invest 25% of the project cost on an investment of minimum Rs 500 crore.",Himani Chandna ," 4 March, 2020"
"Poll model code of conduct is good enough, doesn’t need legal backing: CEC Sunil Arora","Sanya Dhingra - 4 March, 2020","In an interview with ThePrint, CEC Sunil Arora made light of criticism lobbed at EC for allegedly failing to check hate speech during Delhi polls.",Sanya Dhingra ," 4 March, 2020"
DRDO confirms Chinese ship India stopped was carrying nuclear-capable equipment to Pakistan,"Shishir Gupta - 4 March, 2020","According to DRDO officials, it is now up to India’s national security planners to expose the nuclear proliferation nexus between Beijing and Islamabad.",Shishir Gupta ," 4 March, 2020"
"Onions imported at Rs 58/kg being sold for Rs 6/kg after being rejected by states, Safal","Samyak Pandey - 4 March, 2020","There are few takers for over 90% of the 33,600 metric tonnes of imported onions, which threatens to translate into a loss of around Rs 200 crore for govt.",Samyak Pandey ," 4 March, 2020"
Delhi shooter Shahrukh — college dropout who flirted with trouble & got gun ‘for pleasure’,"Ananya Bhardwaj - 4 March, 2020","Shahrukh, the man who was photographed pointing a gun at the Delhi Police during last week's rioting, has been booked for attempt to murder, among other charges.",Ananya Bhardwaj ," 4 March, 2020"
"How political elites are placed in India today, and their impact on state capacity","Revathi Krishnan - 3 March, 2020",A panel discussion on day two of CPR Dialogues 2020 Tuesday deliberated critical questions surrounding contemporary Indian politics.,Revathi Krishnan ," 3 March, 2020"
"‘Delhi riots anti-Muslim, BJP’s Kapil Mishra to blame’ — academics from IITs, JNU, SOAS, UCLA","Revathi Krishnan - 3 March, 2020",Over 400 academics in open letter demand judicial inquiry into actions of Delhi Police as well as a ban on organisations such as Bajrang Dal.,Revathi Krishnan ," 3 March, 2020"
"436 cases filed, over 1,400 held or detained in connection with Delhi riots","PTI - 3 March, 2020","According to Delhi Police, the police control room (PCR) did not receive calls of rioting in the past six days.",PTI ," 3 March, 2020"
4 IndiGo crew members under home observation after flying with Telangana coronavirus patient,"PTI - 3 March, 2020",Crew members of Air Asia have also been put in isolation in their homes after they flew from Vienna with a Delhi man diagnosed with coronavirus.,PTI ," 3 March, 2020"
